APN,Property Address,Owner Name,Mailing Address,Owner Occupied Yes/No,Tax Years Delinquent,Taxes Owed,Auction Status,Sale Date,Assessed Value,Recorder Docs Found,Probate Signal,Deceased Signal,Court Signal,LLC Status,Lien/Judgment Signal,Vacancy Signal,Motivation Score,Target Class,Best Strategy,Next Action,Source URLs,Verification Status,Notes
138-01-406-008,"5472 W ALEXANDER RD, Las Vegas NV",REAL ESTATE DEVELOPMENT LLC,UNVERIFIED - check Clark County Assessor,UNVERIFIED,3+ years minimum (2021 auction parcel; original delinquency year UNVERIFIED from source),"$131,570.92 (minimum bid as of 2021 auction notice)","SCHEDULED FOR AUCTION May 13-14, 2021 via Bid4Assets.com/ClarkNV",2021-05-13 to 2021-05-14,UNVERIFIED - check Clark County Assessor,UNVERIFIED - check: https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=138-01-406-008,YES - ESTATE in owner name,POSSIBLE - verify obituary and probate filing,UNVERIFIED - check: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED - CHECK NV SOS: https://esos.nv.gov/EntitySearch/OnlineEntitySearch,UNVERIFIED - check Clark County Recorder,UNVERIFIED - check Google Maps,140,NUCLEAR TARGET,Probate Acquisition Target,1) Pull assessor record; 2) Check recorder for liens; 3) Verify LLC/entity status; 4) Outreach within 30 days,https://assessor.clarkcountynv.gov/assrapp/assessment/SitePages/showDetail.aspx?apn=138-01-406-008; https://treasurer.clarkcountynv.gov/treasurer-home/real-property-tax-inquiry?apn=138-01-406-008; https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=138-01-406-008; https://www.clarkcountynv.gov/government/departments/treasurer/real_property_tax_auction.php,PARTIAL - APN/Owner/Address/MinBid from source document; all other fields require external verification,"Score breakdown: +20 ESTATE/DECEASED signal in owner name; +15 Auction parcel = minimum 3+ years delinquent; +15 Auction/sale date confirmed: May 13-14, 2021; +10 LLC/Corp entity - likely revoked/dissolved (verify NV SOS) | ESTATE NAME SIGNAL - verify probate filing immediately | Phase 2 VERIFIED: on 2026 auction $185,588.61 — 5+ year delinquency confirmed; builder demand corridor (Lennar Centennial Hills 89130) VERIFIED; NUCLEAR TARGET score 140"
140-17-401-002,UNASSIGNED SITUS,BMR FUNDING LLC ETAL,UNVERIFIED - check Clark County Assessor,UNVERIFIED,3+ years minimum (2021 auction parcel; original delinquency year UNVERIFIED from source),"$49,520.75 (minimum bid as of 2021 auction notice)","SCHEDULED FOR AUCTION May 13-14, 2021 via Bid4Assets.com/ClarkNV",2021-05-13 to 2021-05-14,UNVERIFIED - check Clark County Assessor,UNVERIFIED - check: https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=140-17-401-002,UNVERIFIED - check Clark County Probate: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED,UNVERIFIED - check: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED - CHECK NV SOS: https://esos.nv.gov/EntitySearch/OnlineEntitySearch,UNVERIFIED - check Clark County Recorder,UNASSIGNED SITUS detected,60,STRONG TARGET,Dead Paper / Land Development Lead,1) Pull assessor record; 2) Check recorder for liens; 3) Verify LLC/entity status; 4) Outreach within 30 days,https://assessor.clarkcountynv.gov/assrapp/assessment/SitePages/showDetail.aspx?apn=140-17-401-002; https://treasurer.clarkcountynv.gov/treasurer-home/real-property-tax-inquiry?apn=140-17-401-002; https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=140-17-401-002; https://www.clarkcountynv.gov/government/departments/treasurer/real_property_tax_auction.php,PARTIAL - APN/Owner/Address/MinBid from source document; all other fields require external verification,"LLC multi-parcel | Score breakdown: +15 Auction parcel = minimum 3+ years delinquent; +15 Auction/sale date confirmed: May 13-14, 2021; +10 Unassigned situs = likely out-of-area owner (mailing ≠ property); +10 LLC/Corp entity - likely revoked/dissolved (verify NV SOS); +5 Owner has multiple delinquent auction parcels; +5 UNASSIGNED SITUS = likely vacant land/unaddressed parcel"
140-29-101-016,"4550 E VAN BUREN AVE, Las Vegas NV",REALTY DATA GROUP LLC,UNVERIFIED - check Clark County Assessor,UNVERIFIED,3+ years minimum (2021 auction parcel; original delinquency year UNVERIFIED from source),"$93,953.08 (minimum bid as of 2021 auction notice)","SCHEDULED FOR AUCTION May 13-14, 2021 via Bid4Assets.com/ClarkNV",2021-05-13 to 2021-05-14,UNVERIFIED - check Clark County Assessor,UNVERIFIED - check: https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=140-29-101-016,UNVERIFIED - check Clark County Probate: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED,UNVERIFIED - check: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED - CHECK NV SOS: https://esos.nv.gov/EntitySearch/OnlineEntitySearch,UNVERIFIED - check Clark County Recorder,UNVERIFIED - check Google Maps,45,WATCHLIST,Entity Distress / Wholesale or Flip,1) Pull assessor record; 2) Add to watchlist; 3) Re-score quarterly,https://assessor.clarkcountynv.gov/assrapp/assessment/SitePages/showDetail.aspx?apn=140-29-101-016; https://treasurer.clarkcountynv.gov/treasurer-home/real-property-tax-inquiry?apn=140-29-101-016; https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=140-29-101-016; https://www.clarkcountynv.gov/government/departments/treasurer/real_property_tax_auction.php,PARTIAL - APN/Owner/Address/MinBid from source document; all other fields require external verification,"Multi-parcel LLC - also has 139-21-210-007 | Score breakdown: +15 Auction parcel = minimum 3+ years delinquent; +15 Auction/sale date confirmed: May 13-14, 2021; +10 LLC/Corp entity - likely revoked/dissolved (verify NV SOS); +5 Owner has multiple delinquent auction parcels"
140-17-401-001,"2550 N LAMB BLVD, Las Vegas NV",BMR FUNDING LLC ETAL,UNVERIFIED - check Clark County Assessor,UNVERIFIED,3+ years minimum (2021 auction parcel; original delinquency year UNVERIFIED from source),"$49,744.75 (minimum bid as of 2021 auction notice)","SCHEDULED FOR AUCTION May 13-14, 2021 via Bid4Assets.com/ClarkNV",2021-05-13 to 2021-05-14,UNVERIFIED - check Clark County Assessor,UNVERIFIED - check: https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=140-17-401-001,UNVERIFIED - check Clark County Probate: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED,UNVERIFIED - check: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED - CHECK NV SOS: https://esos.nv.gov/EntitySearch/OnlineEntitySearch,UNVERIFIED - check Clark County Recorder,UNVERIFIED - check Google Maps,45,WATCHLIST,Entity Distress / Wholesale or Flip,1) Pull assessor record; 2) Add to watchlist; 3) Re-score quarterly,https://assessor.clarkcountynv.gov/assrapp/assessment/SitePages/showDetail.aspx?apn=140-17-401-001; https://treasurer.clarkcountynv.gov/treasurer-home/real-property-tax-inquiry?apn=140-17-401-001; https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=140-17-401-001; https://www.clarkcountynv.gov/government/departments/treasurer/real_property_tax_auction.php,PARTIAL - APN/Owner/Address/MinBid from source document; all other fields require external verification,"LLC multi-parcel | Score breakdown: +15 Auction parcel = minimum 3+ years delinquent; +15 Auction/sale date confirmed: May 13-14, 2021; +10 LLC/Corp entity - likely revoked/dissolved (verify NV SOS); +5 Owner has multiple delinquent auction parcels"
139-21-210-007,"2017 BALZAR AVE, Las Vegas NV",REALTY DATA GROUP LLC,UNVERIFIED - check Clark County Assessor,UNVERIFIED,3+ years minimum (2021 auction parcel; original delinquency year UNVERIFIED from source),"$41,122.83 (minimum bid as of 2021 auction notice)","SCHEDULED FOR AUCTION May 13-14, 2021 via Bid4Assets.com/ClarkNV",2021-05-13 to 2021-05-14,UNVERIFIED - check Clark County Assessor,UNVERIFIED - check: https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=139-21-210-007,UNVERIFIED - check Clark County Probate: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED,UNVERIFIED - check: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED - CHECK NV SOS: https://esos.nv.gov/EntitySearch/OnlineEntitySearch,UNVERIFIED - check Clark County Recorder,UNVERIFIED - check Google Maps,35,WATCH,Entity Distress / Wholesale or Flip,1) Pull assessor record; 2) Add to watchlist; 3) Re-score quarterly,https://assessor.clarkcountynv.gov/assrapp/assessment/SitePages/showDetail.aspx?apn=139-21-210-007; https://treasurer.clarkcountynv.gov/treasurer-home/real-property-tax-inquiry?apn=139-21-210-007; https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=139-21-210-007; https://www.clarkcountynv.gov/government/departments/treasurer/real_property_tax_auction.php,PARTIAL - APN/Owner/Address/MinBid from source document; all other fields require external verification,"Multi-parcel LLC | Score breakdown: +15 Auction parcel = minimum 3+ years delinquent; +15 Auction/sale date confirmed: May 13-14, 2021; +10 LLC/Corp entity - likely revoked/dissolved (verify NV SOS); +5 Owner has multiple delinquent auction parcels | Phase 2 FLAG: 2017 Balzar Ave sold Dec 8 2022 for $36,477 — OWNERSHIP LIKELY CHANGED; remove from LLC pipeline; verify current owner at assessor"
139-16-310-322,"2613 VISTA ST, Las Vegas NV",MILLER VISTA LAS VEGAS 276 LLC,UNVERIFIED - check Clark County Assessor,UNVERIFIED,3+ years minimum (2021 auction parcel; original delinquency year UNVERIFIED from source),"$1,773.60 (minimum bid as of 2021 auction notice)","SCHEDULED FOR AUCTION May 13-14, 2021 via Bid4Assets.com/ClarkNV",2021-05-13 to 2021-05-14,UNVERIFIED - check Clark County Assessor,UNVERIFIED - check: https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=139-16-310-322,UNVERIFIED - check Clark County Probate: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED,UNVERIFIED - check: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED - CHECK NV SOS: https://esos.nv.gov/EntitySearch/OnlineEntitySearch,UNVERIFIED - check Clark County Recorder,UNVERIFIED - check Google Maps,45,WATCHLIST,Entity Distress / Wholesale or Flip,1) Pull assessor record; 2) Add to watchlist; 3) Re-score quarterly,https://assessor.clarkcountynv.gov/assrapp/assessment/SitePages/showDetail.aspx?apn=139-16-310-322; https://treasurer.clarkcountynv.gov/treasurer-home/real-property-tax-inquiry?apn=139-16-310-322; https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=139-16-310-322; https://www.clarkcountynv.gov/government/departments/treasurer/real_property_tax_auction.php,PARTIAL - APN/Owner/Address/MinBid from source document; all other fields require external verification,"Multi-parcel LLC owner | Score breakdown: +15 Auction parcel = minimum 3+ years delinquent; +15 Auction/sale date confirmed: May 13-14, 2021; +10 LLC/Corp entity - likely revoked/dissolved (verify NV SOS); +5 Owner has multiple delinquent auction parcels"
139-16-310-324,"2605 VISTA ST, Las Vegas NV",MILLER VISTA LAS VEGAS 276 LLC,UNVERIFIED - check Clark County Assessor,UNVERIFIED,3+ years minimum (2021 auction parcel; original delinquency year UNVERIFIED from source),"$1,773.60 (minimum bid as of 2021 auction notice)","SCHEDULED FOR AUCTION May 13-14, 2021 via Bid4Assets.com/ClarkNV",2021-05-13 to 2021-05-14,UNVERIFIED - check Clark County Assessor,UNVERIFIED - check: https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=139-16-310-324,UNVERIFIED - check Clark County Probate: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED,UNVERIFIED - check: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED - CHECK NV SOS: https://esos.nv.gov/EntitySearch/OnlineEntitySearch,UNVERIFIED - check Clark County Recorder,UNVERIFIED - check Google Maps,45,WATCHLIST,Entity Distress / Wholesale or Flip,1) Pull assessor record; 2) Add to watchlist; 3) Re-score quarterly,https://assessor.clarkcountynv.gov/assrapp/assessment/SitePages/showDetail.aspx?apn=139-16-310-324; https://treasurer.clarkcountynv.gov/treasurer-home/real-property-tax-inquiry?apn=139-16-310-324; https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=139-16-310-324; https://www.clarkcountynv.gov/government/departments/treasurer/real_property_tax_auction.php,PARTIAL - APN/Owner/Address/MinBid from source document; all other fields require external verification,"Multi-parcel LLC owner | Score breakdown: +15 Auction parcel = minimum 3+ years delinquent; +15 Auction/sale date confirmed: May 13-14, 2021; +10 LLC/Corp entity - likely revoked/dissolved (verify NV SOS); +5 Owner has multiple delinquent auction parcels"
139-16-310-321,"2617 VISTA ST, Las Vegas NV",MILLER VISTA LAS VEGAS 276 LLC,UNVERIFIED - check Clark County Assessor,UNVERIFIED,3+ years minimum (2021 auction parcel; original delinquency year UNVERIFIED from source),"$1,717.60 (minimum bid as of 2021 auction notice)","SCHEDULED FOR AUCTION May 13-14, 2021 via Bid4Assets.com/ClarkNV",2021-05-13 to 2021-05-14,UNVERIFIED - check Clark County Assessor,UNVERIFIED - check: https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=139-16-310-321,UNVERIFIED - check Clark County Probate: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED,UNVERIFIED - check: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED - CHECK NV SOS: https://esos.nv.gov/EntitySearch/OnlineEntitySearch,UNVERIFIED - check Clark County Recorder,UNVERIFIED - check Google Maps,45,WATCHLIST,Entity Distress / Wholesale or Flip,1) Pull assessor record; 2) Add to watchlist; 3) Re-score quarterly,https://assessor.clarkcountynv.gov/assrapp/assessment/SitePages/showDetail.aspx?apn=139-16-310-321; https://treasurer.clarkcountynv.gov/treasurer-home/real-property-tax-inquiry?apn=139-16-310-321; https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=139-16-310-321; https://www.clarkcountynv.gov/government/departments/treasurer/real_property_tax_auction.php,PARTIAL - APN/Owner/Address/MinBid from source document; all other fields require external verification,"Multi-parcel LLC owner | Score breakdown: +15 Auction parcel = minimum 3+ years delinquent; +15 Auction/sale date confirmed: May 13-14, 2021; +10 LLC/Corp entity - likely revoked/dissolved (verify NV SOS); +5 Owner has multiple delinquent auction parcels"
139-16-310-323,"2609 VISTA ST, Las Vegas NV",MILLER VISTA LAS VEGAS 276 LLC,UNVERIFIED - check Clark County Assessor,UNVERIFIED,3+ years minimum (2021 auction parcel; original delinquency year UNVERIFIED from source),"$1,717.60 (minimum bid as of 2021 auction notice)","SCHEDULED FOR AUCTION May 13-14, 2021 via Bid4Assets.com/ClarkNV",2021-05-13 to 2021-05-14,UNVERIFIED - check Clark County Assessor,UNVERIFIED - check: https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=139-16-310-323,UNVERIFIED - check Clark County Probate: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED,UNVERIFIED - check: https://www.clarkcountycourts.us/Anonymous/default.aspx,UNVERIFIED - CHECK NV SOS: https://esos.nv.gov/EntitySearch/OnlineEntitySearch,UNVERIFIED - check Clark County Recorder,UNVERIFIED - check Google Maps,45,WATCHLIST,Entity Distress / Wholesale or Flip,1) Pull assessor record; 2) Add to watchlist; 3) Re-score quarterly,https://assessor.clarkcountynv.gov/assrapp/assessment/SitePages/showDetail.aspx?apn=139-16-310-323; https://treasurer.clarkcountynv.gov/treasurer-home/real-property-tax-inquiry?apn=139-16-310-323; https://recorder.clarkcountynv.gov/forsearch/search?criteria=apn&query=139-16-310-323; https://www.clarkcountynv.gov/government/departments/treasurer/real_property_tax_auction.php,PARTIAL - APN/Owner/Address/MinBid from source document; all other fields require external verification,"Multi-parcel LLC owner | Score breakdown: +15 Auction parcel = minimum 3+ years delinquent; +15 Auction/sale date confirmed: May 13-14, 2021; +10 LLC/Corp entity - likely revoked/dissolved (verify NV SOS); +5 Owner has multiple delinquent auction parcels"
162-32-201-009,UNVERIFIED - check Clark County Assessor,LAS VEGAS REAL ESTATE L L C,UNVERIFIED,UNVERIFIED,3+ years (estimated from penalty/interest ratio),$89.66 (FY2023-2024; taxes $7.67 + pen/int $6.99 + cost $75.00),Certificate eligible June 2024 (redemption period per NRS 361),UNVERIFIED - certificate issued June 2024; auction eligibility after 2-year redemption period (~June 2026),UNVERIFIED,UNVERIFIED,YES - ESTATE signal,POSSIBLE,UNVERIFIED,LLC/Corp - verify NV SOS,UNVERIFIED,UNVERIFIED,45,WATCHLIST,Probate Acquisition Target,1) Verify at Clark County Assessor; 2) Check NV SOS for LLC status; 3) Pull recorder docs,https://assessor.clarkcountynv.gov/assrapp/assessment/SitePages/showDetail.aspx?apn=162-32-201-009; https://treasurer.clarkcountynv.gov/treasurer-home/real-property-tax-inquiry?apn=162-32-201-009; https://www.clarkcountynv.gov/government/departments/treasurer/delinquent_taxes.php,PARTIAL - APN/Owner/Tax amounts from 2024 Annual Delinquency Publication; address/assessed value require Assessor lookup,+20 ESTATE/DECEASED signal; +15 Estimated 3+ years delinquent (pen/int ratio); +10 LLC/Corp entity - verify NV SOS status | Source: 2024 Clark County Annual Delinquency Publication FY2023-2024
